id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,criteria_anomali,description_anomali,code_transaction
2847c69b-555a-44f9-9a61-5abb3b65c5c9,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,0,Normal,TRX:TQjx4tWdLONN3nuhQvgHLS
bc4fbb92-07cc-463f-b313-5b47e5afc9b0,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,0,Normal,TRX:ym45gi2WBP5VXMFjLwBBtJ
e4fe2306-66f9-4872-9da6-881d8f9586ff,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,0,Normal,TRX:DTvrt-Z-k7CKGx0DymgZw8
682e8dec-579f-4fbf-aa15-496bdff165b6,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,0,Normal,TRX:gbzikSKkkUUgoeJRWzDMlS
6770fd03-3f5d-45c2-a6a7-73bc41dc65a8,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,0,Normal,TRX:yFMWXd-YgjWlApUMo7v6S2
dbfa9de0-c2e1-4dc7-af38-0454e87fb2ce,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,0,Normal,TRX:ThUNXghzmGZjQ4MS7-LSM5
abf0606a-a615-4710-9465-3d36313d97a7,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,0,Normal,TRX:xCYIgQ186eRnLgfF523hTz
a8323888-6bc0-41f4-a513-89688b273e49,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,0,Normal,TRX:2pv27eef78qzvFMSfHj7SV
fc531b60-0ddb-46f0-8ac2-dd4de9df032c,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,0,Normal,TRX:BRHQMnJxPV6GReMiHKDeKA
d7030168-26bf-4771-a948-4365fa24b3f3,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,0,Normal,TRX:sqAfAXPBJyF33EgHVmHKDK
8f1da8a1-ad95-46e5-b612-f68836103b51,5581764356,251000,IDR,D,8027275389,Transfer ke BNI - RINA NUGROHO,SUCCESS,2025-09-05,21:39:48,0,Normal,TRX:nHSAGcSl7AmUAkq85TU2fw
4dc9926e-e691-4049-84d3-b88693bca6c4,1262316554,225000,IDR,D,7573055140,Transfer ke BRI - DAVID GARCIA,SUCCESS,2025-09-05,21:39:49,0,Normal,TRX:PiwBskWfPpDpvcDBf7Cwhb
be93360d-feff-43a7-9356-b3cd6d3873df,4781868184,27000,IDR,D,7568406940,Transfer ke BNI - JOKO FIRMANSYAH,SUCCESS,2025-09-05,21:39:50,0,Normal,TRX:tHDWqVdQHVuaAq9ETsRGYY
c968b579-1e6f-467a-9e22-338cb7153248,4043454456,106000,IDR,D,8282691405,Transfer ke BNI - RAHMAT UTAMA,SUCCESS,2025-09-05,21:39:51,0,Normal,TRX:zB6ayO7zr5sZpmBVhcKqPW
b3965cec-db6a-44d6-98ee-b3bda9e67504,7283194447,84000,IDR,D,3579800165,Transfer ke BNI - RATNA WIBISONO,SUCCESS,2025-09-05,21:39:53,0,Normal,TRX:cJKgHrlC-ADGOuPvPvkwiX
443912ac-112a-426f-b29b-c083cef6e7f7,6273387403,475000,IDR,D,9862146667,Transfer ke BNI - INTAN NUGROHO,SUCCESS,2025-09-05,21:39:54,0,Normal,TRX:41D2e2BpwnXzcT3Bj3-94a
5af42111-d0d5-40da-bbce-3591c2fbaee5,3102671140,87000,IDR,D,7635243971,Transfer ke MANDIRI - LINDA MARTINEZ,SUCCESS,2025-09-05,21:39:55,0,Normal,TRX:T0H-EknLWay19ZI7bLYKOC
5ec3e1cb-4f3d-47f6-b06b-1941113d830c,4182583015,191000,IDR,D,9226426184,Transfer ke BNI - SURYA SUSANTO,SUCCESS,2025-09-05,21:39:57,0,Normal,TRX:hk0LOAIFfYTQQKVqEMV7TP
c25f3d4d-7e0b-4d30-a971-86182edd0de0,4993400030,373000,IDR,D,5372118428,Transfer ke PERMATA - JAMES MILLER,SUCCESS,2025-09-05,21:39:58,0,Normal,TRX:GpuI3RY9ToweU32cHkpqN2
cceabe1b-a4d0-4d40-980f-7663e5ca6770,5869740843,169000,IDR,D,2118424454,Transfer ke BRI - PATRICIA BROWN,SUCCESS,2025-09-05,21:39:59,0,Normal,TRX:UGvPRehthsnpxMqNnSQzrZ
5f6a4b86-6dd8-4dba-a327-f18510219a88,1368927904,774000,IDR,D,3974018136,Transfer ke BNI - RATNA NUGROHO,SUCCESS,2025-09-05,21:40:00,0,Normal,TRX:x6YaU9ym3q9QDd3T8VCaIb
c85df26f-029d-4dd6-9778-17b209facab6,2344087545,859000,IDR,D,8373544187,Transfer ke PERMATA - JAMES SMITH,SUCCESS,2025-09-05,21:40:02,0,Normal,TRX:43GxWyhaVKa47aVjk4VVMU
47804ea8-4ba9-496e-9a44-cd677056d6b9,4043454456,961000,IDR,D,9130076137,Transfer ke BNI - TIARA SUSANTO,SUCCESS,2025-09-05,21:40:03,0,Normal,TRX:Kwr-q6ByVhDpO6DWSz-VOD
15ee14e9-b327-48d5-906c-a154e6d0dbab,4026773905,319000,IDR,D,7337980136,Transfer ke BNI - ANISA HARYANTO,SUCCESS,2025-09-05,21:40:04,0,Normal,TRX:Rg6itaMc7XINiz4UKHTXiJ
29465b7f-2f0f-4ab7-af7f-08b03f691b07,5581764356,111000,IDR,D,6755580006,Transfer ke BRI - JOHN JONES,SUCCESS,2025-09-05,21:40:05,0,Normal,TRX:W0G9UcLxQbPNy-FdlLNe4l
0da2a119-96df-4e3a-a183-c8fd37b84b23,7886988617,174000,IDR,D,2315399362,Transfer ke CIMB - ELIZABETH RODRIGUEZ,SUCCESS,2025-09-05,21:40:07,0,Normal,TRX:FGsOcnLGsjkIWdXKcwgFxN
890a6220-24a2-408f-bdd8-8866cec57594,3191464702,14000,IDR,D,9717606490,Transfer ke MANDIRI - LINDA JONES,SUCCESS,2025-09-05,21:40:08,0,Normal,TRX:zCnxQh9xiAEIf7SxwA2NJF
b646a1b6-120f-4cf1-b87d-5e77028a1bc9,9364768077,81000,IDR,D,8752601836,Transfer ke BRI - MICHAEL SMITH,SUCCESS,2025-09-05,21:40:09,0,Normal,TRX:4A0jSMUIjf5v5Y174QdG23
4289da65-64b3-4919-b25b-5a279830c0fd,3651780355,164000,IDR,D,4832835394,Transfer ke BNI - FARAH PRATAMA,SUCCESS,2025-09-05,21:40:11,0,Normal,TRX:tgh9hJqHwvKogx9FvhWCXd
270c43b6-abfc-4e9f-b146-221d7662f2db,1743495192,64000,IDR,D,2152159248,Transfer ke CIMB - ELIZABETH RODRIGUEZ,SUCCESS,2025-09-05,21:40:12,0,Normal,TRX:Ks-CWI26jaaSpQ630eXb8U
95e7c023-1b78-4093-b255-f1597715c4f1,1382294053,18000,IDR,D,5982410387,Transfer ke PERMATA - LINDA MILLER,SUCCESS,2025-09-05,21:40:13,0,Normal,TRX:yA021zjA-rRGRgdlWE3DnT
0a768d9e-94da-4378-a533-eeb1857aeb5e,4389411164,234000,IDR,D,8546180062,Transfer ke BCA - BARBARA JOHNSON,SUCCESS,2025-09-05,21:40:14,0,Normal,TRX:VvPmu-FaeWBAGA7-cJXnPn
4e2241fc-e720-4b0b-87bc-13bacf9ec2a3,6470169667,657000,IDR,D,9444447804,Transfer ke BNI - TIARA HIDAYAT,SUCCESS,2025-09-05,21:40:16,0,Normal,TRX:SqZcyzHiCzQ497u5Ka5VuD
cfebb05b-f544-4e54-846d-a45e935b2791,7335752002,879000,IDR,D,6828233771,Transfer ke BNI - SITI NUGRAHA,SUCCESS,2025-09-05,21:40:17,0,Normal,TRX:ePo7It4CwXisP9fyi06QHw
9127a139-839d-4913-99b6-5c86b4c5722c,8150956541,145000,IDR,D,4630119667,Transfer ke PERMATA - DAVID MILLER,SUCCESS,2025-09-05,21:40:18,0,Normal,TRX:ClnuXfUQsWaRNxLLd6D6Hx
bf157c52-5c2f-4d24-bbca-9aaac2f4a5b6,4816844400,85000,IDR,D,1132211236,Transfer ke MANDIRI - MICHAEL DAVIS,SUCCESS,2025-09-05,21:40:19,0,Normal,TRX:lWWDKASs6S1SQpkuLUFzCi
