id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,criteria_anomali,description_anomali
af692815-4478-4824-b304-9a5793847d50,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,0,Normal
3a32698b-4189-43ac-9019-0a0bfbda5ab3,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,0,Normal
34ec85bb-45bb-47e7-bf94-76facbfb559a,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,0,Normal
3e2fc1b0-e6a1-489c-a99f-10e029304e87,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,0,Normal
1e7314f3-60d0-4210-843a-a811094173be,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,0,Normal
67e82eb0-adaf-4419-94f7-0dcab7679582,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,0,Normal
581a1068-b9d2-4eea-a284-9a36b0404e80,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,0,Normal
2cc3c84b-6e5e-44cd-a8f9-3f419d9c4f6e,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,0,Normal
f4bbfd42-02ce-4341-967a-5b73be179980,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,0,Normal
c17c9f61-b3c1-4464-bc28-de517f172fbf,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,0,Normal
66f489f5-0e8c-4717-9533-f713cce01826,5581764356,251000,IDR,D,8027275389,Transfer ke BNI - RINA NUGROHO,SUCCESS,2025-09-05,21:39:48,0,Normal
56a5bc74-e54b-45d7-a8f7-cb224705cbe5,1262316554,225000,IDR,D,7573055140,Transfer ke BRI - DAVID GARCIA,SUCCESS,2025-09-05,21:39:49,0,Normal
05a4f676-5947-4ea5-a778-1a0898ea1556,4781868184,27000,IDR,D,7568406940,Transfer ke BNI - JOKO FIRMANSYAH,SUCCESS,2025-09-05,21:39:50,0,Normal
20630a51-1a36-4217-b0b6-088a7df6c7f5,4043454456,106000,IDR,D,8282691405,Transfer ke BNI - RAHMAT UTAMA,SUCCESS,2025-09-05,21:39:51,0,Normal
1d8f89e8-bc76-439a-a3f2-038d074f482f,7283194447,84000,IDR,D,3579800165,Transfer ke BNI - RATNA WIBISONO,SUCCESS,2025-09-05,21:39:53,0,Normal
1f983284-3925-4763-ae5c-7b0defe375e8,6273387403,475000,IDR,D,9862146667,Transfer ke BNI - INTAN NUGROHO,SUCCESS,2025-09-05,21:39:54,0,Normal
cdc602d1-f74c-4f78-a8c9-fc846fb3e0b1,3102671140,87000,IDR,D,7635243971,Transfer ke MANDIRI - LINDA MARTINEZ,SUCCESS,2025-09-05,21:39:55,0,Normal
f5e030ee-58d4-45d3-94ae-34f0cca16a10,4182583015,191000,IDR,D,9226426184,Transfer ke BNI - SURYA SUSANTO,SUCCESS,2025-09-05,21:39:57,0,Normal
84dade39-ef19-400e-8f7b-be60bde18d16,4993400030,373000,IDR,D,5372118428,Transfer ke PERMATA - JAMES MILLER,SUCCESS,2025-09-05,21:39:58,0,Normal
4b952cb1-c054-4abf-9d3e-5e311911647e,5869740843,169000,IDR,D,2118424454,Transfer ke BRI - PATRICIA BROWN,SUCCESS,2025-09-05,21:39:59,0,Normal
0a77ae83-0e2b-4e4a-9fc8-cc42a63a1e1f,1368927904,774000,IDR,D,3974018136,Transfer ke BNI - RATNA NUGROHO,SUCCESS,2025-09-05,21:40:00,0,Normal
627cccd4-71d4-4d92-aaa4-922ad4e57975,2344087545,859000,IDR,D,8373544187,Transfer ke PERMATA - JAMES SMITH,SUCCESS,2025-09-05,21:40:02,0,Normal
67512634-38e0-41ee-81f0-a0b85f20b180,4043454456,961000,IDR,D,9130076137,Transfer ke BNI - TIARA SUSANTO,SUCCESS,2025-09-05,21:40:03,0,Normal
ad5a6e6b-69b7-4e4e-b154-880544dbc5d5,4026773905,319000,IDR,D,7337980136,Transfer ke BNI - ANISA HARYANTO,SUCCESS,2025-09-05,21:40:04,0,Normal
2962cedf-a2be-432b-a4ac-5a39d7bc2b1d,5581764356,111000,IDR,D,6755580006,Transfer ke BRI - JOHN JONES,SUCCESS,2025-09-05,21:40:05,0,Normal
611a3935-8d55-491b-885a-34242a242700,7886988617,174000,IDR,D,2315399362,Transfer ke CIMB - ELIZABETH RODRIGUEZ,SUCCESS,2025-09-05,21:40:07,0,Normal
63c33417-7b3f-4661-be26-7aac6d414f31,3191464702,14000,IDR,D,9717606490,Transfer ke MANDIRI - LINDA JONES,SUCCESS,2025-09-05,21:40:08,0,Normal
450a7897-ec92-41d6-99db-e95a55a9c9ca,9364768077,81000,IDR,D,8752601836,Transfer ke BRI - MICHAEL SMITH,SUCCESS,2025-09-05,21:40:09,0,Normal
d1122d10-2010-41b6-b053-1810e55421c9,3651780355,164000,IDR,D,4832835394,Transfer ke BNI - FARAH PRATAMA,SUCCESS,2025-09-05,21:40:11,0,Normal
c81b4549-e83e-46c0-8068-211855d5a5a7,1743495192,64000,IDR,D,2152159248,Transfer ke CIMB - ELIZABETH RODRIGUEZ,SUCCESS,2025-09-05,21:40:12,0,Normal
4b1099f8-8a1d-4006-bf3b-353aa3767c0a,1382294053,18000,IDR,D,5982410387,Transfer ke PERMATA - LINDA MILLER,SUCCESS,2025-09-05,21:40:13,0,Normal
aaeb94f5-6eb3-40de-8c4b-557feaab6ae6,4389411164,234000,IDR,D,8546180062,Transfer ke BCA - BARBARA JOHNSON,SUCCESS,2025-09-05,21:40:14,0,Normal
f69e0864-ba93-419b-9058-03cd64d55dac,6470169667,657000,IDR,D,9444447804,Transfer ke BNI - TIARA HIDAYAT,SUCCESS,2025-09-05,21:40:16,0,Normal
3c62dbe9-74c1-46bf-8b97-7a9d8e9420b6,7335752002,879000,IDR,D,6828233771,Transfer ke BNI - SITI NUGRAHA,SUCCESS,2025-09-05,21:40:17,0,Normal
8aebcea0-4375-451c-b08b-f4c2390ee1d7,8150956541,145000,IDR,D,4630119667,Transfer ke PERMATA - DAVID MILLER,SUCCESS,2025-09-05,21:40:18,0,Normal
2fd7b100-a6bb-4c59-b468-ab47df6e1070,4816844400,85000,IDR,D,1132211236,Transfer ke MANDIRI - MICHAEL DAVIS,SUCCESS,2025-09-05,21:40:19,0,Normal
223183b4-0d59-4b35-adb2-f6c8ebc073df,2009488263,66000,IDR,D,7152874220,Transfer ke BNI - ANDI ADITYA,SUCCESS,2025-09-05,21:40:21,0,Normal
d03958b9-e2a1-4639-b5ad-a2b3ea67e8c3,4816844400,183000,IDR,D,4217283170,Transfer ke PERMATA - BARBARA MARTINEZ,SUCCESS,2025-09-05,21:40:22,0,Normal
d0188984-0fca-4a95-87d1-ba3b7611a7b6,1241839674,190000,IDR,D,2404495094,Transfer ke BNI - ANISA MAHARDIKA,SUCCESS,2025-09-05,21:40:23,0,Normal
769620b0-fabf-43ec-97ea-28bc19c09f65,3730268254,155000,IDR,D,5807525599,Transfer ke MANDIRI - JAMES JONES,SUCCESS,2025-09-05,21:40:24,0,Normal
fd7b62c8-407f-4530-80ad-466484ce0f18,2568717746,442000,IDR,D,4897612986,Transfer ke JAGO - MICHAEL SMITH,SUCCESS,2025-09-05,21:40:26,0,Normal
b93cca9c-414a-4a4b-9a23-205e0817d0ef,5714971371,838000,IDR,D,5481857052,Transfer ke CIMB - DAVID JONES,SUCCESS,2025-09-05,21:40:27,0,Normal
212a7fb0-d2b6-45bb-91ee-79147d18d088,5696459759,4959000,IDR,D,4620870523,Transfer ke BRI - DAVID JONES,SUCCESS,2025-09-05,21:40:28,0,Normal
00290cfc-a23b-4019-af42-b660eded834c,4844382491,95000,IDR,D,3384026449,Transfer ke BNI - TRI NUGROHO,SUCCESS,2025-09-05,21:40:29,0,Normal
c8dbe716-8543-48f6-beb1-e0b168515caf,8308950192,62000,IDR,D,4137050025,Transfer ke BNI - RATNA FIRMANSYAH,SUCCESS,2025-09-05,21:40:31,0,Normal
e78f86f2-771f-41f6-923e-60ff497057bb,4043454456,774000,IDR,D,2525725520,Transfer ke MANDIRI - JOHN DAVIS,SUCCESS,2025-09-05,21:40:32,0,Normal
fcabd384-04d4-4079-bb61-bc768b0ed7f2,7220735299,123000,IDR,D,3474175201,Transfer ke JAGO - LINDA MARTINEZ,SUCCESS,2025-09-05,21:40:33,0,Normal
f4e09bad-13f3-4413-8a1e-cb87fb686755,5448204908,566000,IDR,D,8164551032,Transfer ke BNI - YUDA PRATAMA,SUCCESS,2025-09-05,21:40:35,0,Normal
4c438eea-ed02-4a02-8164-d7e74834f57f,1047952711,766000,IDR,D,2886186676,Transfer ke BNI - LESTARI HIDAYAT,SUCCESS,2025-09-05,21:40:36,0,Normal
0c6ae14e-d3d1-4f8f-b48c-6bf9b34bcc9c,6129732501,289000,IDR,D,9914754324,Transfer ke BNI - ANDI RAHARJA,SUCCESS,2025-09-05,21:40:37,0,Normal
bc5ca657-5935-4ba8-a61b-e7b391a1ae39,6542245179,525000,IDR,D,2775550361,Transfer ke BNI - ANDI SUSANTO,SUCCESS,2025-09-05,21:40:38,0,Normal
1018240c-a724-4951-8a95-efc13e7c4558,2806519153,89000,IDR,D,9130076137,Transfer ke BNI - TIARA SUSANTO,SUCCESS,2025-09-05,21:40:40,0,Normal
0398536b-5e56-43de-b287-b580261d5d71,9153637251,19000,IDR,D,9953632820,Transfer ke CIMB - JAMES BROWN,SUCCESS,2025-09-05,21:40:41,0,Normal
a722397d-749b-43e1-9171-301fddbea882,1292991251,89000,IDR,D,4118029628,Transfer ke BNI - AYU SETIAWAN,SUCCESS,2025-09-05,21:40:42,0,Normal
161375db-bbee-4bf6-bb06-6501d3ff9a43,5981094393,66000,IDR,D,8756833495,Transfer ke BRI - MARY SMITH,SUCCESS,2025-09-05,21:40:43,0,Normal
579ee0c5-cac9-486f-837f-55c6d2faf945,4864883510,227000,IDR,D,7475191410,Transfer ke BNI - ILHAM PERMANA,SUCCESS,2025-09-05,21:40:45,0,Normal
4ffbdd13-0d94-4ff4-8a0e-fd3192c15320,3119257051,179000,IDR,D,5222995229,Transfer ke BNI - MELATI ADITYA,SUCCESS,2025-09-05,21:40:46,0,Normal
6a15856c-8185-4428-b754-7361f32e24e1,2069316074,546000,IDR,D,6177063022,Transfer ke BRI - PATRICIA SMITH,SUCCESS,2025-09-05,21:40:47,0,Normal
7eed13b6-65ec-4d8b-b41d-21988045898f,8610438478,3599000,IDR,D,3008912751,Transfer ke BNI - ANDI MAHARDIKA,SUCCESS,2025-09-05,21:40:49,0,Normal
18f4881e-b2dd-4456-a7e1-27fcc99fbbbd,9884602555,859000,IDR,D,1241839674,Transfer ke BNI - BAYU PRASETYO,SUCCESS,2025-09-05,21:40:50,0,Normal
5b7c9829-9ef7-4ac5-8b06-8a82c049c0fd,9862146667,861000,IDR,D,8634081773,Transfer ke BNI - YUDA KUSUMA,SUCCESS,2025-09-05,21:40:51,0,Normal
50b53055-b640-4466-b6dc-36e6b436b1d0,1670620925,78000,IDR,D,1654148174,Transfer ke PERMATA - MICHAEL DAVIS,SUCCESS,2025-09-05,21:40:52,0,Normal
